t,residual_masked,residual_unmasked
71,3.9766678838759617e-10,0.07605048826386684
72,3.302633722057635e-10,0.015708175128589685
73,2.697277956542621e-10,0.044876379440833336
74,2.1714297027131124e-10,0.10475008471377856
75,2.3803625737173206e-10,0.16296821254358362
76,2.578902646988013e-10,0.2186116822883699
77,2.748949956554725e-10,0.270803140733089
78,2.766110673846356e-10,0.3187202342973683
79,2.728308690080894e-10,0.36160760973236483
80,2.682319921731846e-10,0.3987887664360148
81,2.633757656411717e-10,0.4296771944283049
82,2.587281500154859e-10,0.45378583490463054
83,2.552138500533374e-10,0.4707346128165085
84,2.5359692124027333e-10,0.4802562762299525
85,2.536844068146138e-10,0.4822006308830171
86,2.562881018519647e-10,0.47653699475321365
87,2.614748417784085e-10,0.4633547053191902
88,2.6929014573795484e-10,0.4428616777934782
89,2.8012148156619787e-10,0.41538110341086687
90,2.9335289752907556e-10,0.38134636100673713
91,3.0922830962509806e-10,0.34129419694732643
92,3.286934058266411e-10,0.29585626190292014
93,3.508291435139199e-10,0.2457491428819648
94,3.7564951149704484e-10,0.19176305930507698
95,4.020315191866075e-10,0.13474940290460458
96,4.303140066497235e-10,0.07560731296711554
97,4.599549630057709e-10,0.015269496434106022
98,4.901341554841565e-10,0.045312482694326306
99,5.210138986910806e-10,0.10518321048439971
100,5.512239553695508e-10,0.1633984899701486
101,5.810443237663776e-10,0.21904023133376183
102,6.10048234150895e-10,0.2712309309762877
103,6.370586280723955e-10,0.3191475103347543
104,6.620282100300301e-10,0.36203429630557626
105,6.847837852319572e-10,0.3992149386701025
106,7.043872152223685e-10,0.43010307646348545
107,7.211666819273432e-10,0.45421158529094297
108,7.344564956213162e-10,0.4711602595688922
109,7.439939775366611e-10,0.4806818085778304
110,7.466085527596533e-10,0.4826260718121851
111,7.421303571675253e-10,0.4769623870599051
112,7.302836113609601e-10,0.46378007400416577
113,7.116722766653538e-10,0.4432870256075516
114,6.86703582886139e-10,0.41580642947627866
115,6.558817933211003e-10,0.3817716710284458
116,6.201341662404047e-10,0.3417194987476526
117,5.801721325582321e-10,0.2962815593257708
118,5.369211741879099e-10,0.24617443620876367
119,4.919367135869379e-10,0.19218834861287148
120,4.4622461281562664e-10,0.13517468936475718
121,3.976556861573499e-10,0.07603259803505047
122,3.3039415647806436e-10,0.015694780728624735
123,2.6976276767953777e-10,0.04488719921564721
124,2.172855229076731e-10,0.10475792779345361
125,2.381995711786544e-10,0.1629732078053462
126,2.577542623782847e-10,0.2186149494137768
127,2.7505508981562343e-10,0.2708056492060731
128,2.7670543634172873e-10,0.3187222287182536
129,2.727879033770364e-10,0.3616090147902613
130,2.680925481612917e-10,0.3987896572139311
131,2.6317181767154807e-10,0.42967779508418125
132,2.587423608702011e-10,0.4537863039771083
133,2.552156264101768e-10,0.4707349782821795
134,2.5343926957077656e-10,0.4802565272853385
135,2.5367341560667e-10,0.482200790502921
136,2.561569845127565e-10,0.4765371057626362
137,2.6141666609191816e-10,0.4633547927457651
138,2.6944091402469894e-10,0.44286174436362424
139,2.7997193452478086e-10,0.41538114819540295
140,2.92994628559029e-10,0.38134638975622104
141,3.092207601085306e-10,0.3412942175096203
142,3.2864166943369355e-10,0.29585627809774584
143,3.507293344640061e-10,0.2457491549328923
144,3.7535274888256254e-10,0.19176306731892523
145,4.022673305570379e-10,0.13474940817825365
